Type,Avg Time (ms),Rows/Second,Min Time (ms),Max Time (ms),Std Dev (ms),Iterations
Annual,2.96,337.69,2.37,9.04,1.45,20
Quarterly,3.00,333.64,2.65,4.77,0.51,20
